id,file_name,energy,rating,round,boundary_group
A,9 2 5 - Nourished by Time.mp3,0.057350000,3,1,
B,Daisy - Delorians.mp3,0.112600000,4,1,
C,Faded - Alan Walker.mp3,0.144658000,5,1,
D,Blue Green Red - Drake.mp3,0.173453000,6,1,
E,"CRG - Central Cee, Dave.mp3",0.197152000,7,1,
F,Lose Yourself - MERO.mp3,0.219039000,8,1,
G,"My Scorp (Dokker Remix) - Gina Demarchi, Isaiah, William Artist.mp3",0.241982000,9,1,
H,"Don't Cry - LODATO, Ally Ahern.mp3",0.268050000,6,1,
I,MORE THAN HUMAN (Original Mix) - DEEZL.mp3,0.306443000,10,1,
J,Sappho - Phil Berg.mp3,0.375751000,7,1,
K,"BACK ONCE AGAIN - Nikita, the Wicked.mp3",0.010132777,5,2,
L,爱是甜的 - 叶树茵 方文琳 于冠华 米志宏 郭子.mp3,0.022462135,2,2,
M,Pure Grey Circle - Iglooghost.mp3,0.043265573,6,2,
N,"AT THE GATES - HYPERTECHNO - HYPERAVE, BassTon.mp3",0.078538617,7,2,
O,"SAD GIRLZ LUV MONEY - Amaarae, MOLIY.mp3",0.129762674,6,2,
P,U Got Me (1) - ATFC.mp3,0.186294886,9,2,
Q,"Coconut - Kastelo, WEiRD GRRL.mp3",0.208673633,10,2,
R,"Plant The Floor - Chlär, Alarico.mp3",0.255482465,9,2,
S,Endless Groove - M4RY.mp3,0.292899504,10,2,
T,Dream - Junkie Kid.mp3,0.357481861,10,2,
U,RAVE联播 - VESK GREEN.mp3,0.412026906,9,2,
V,The Bells - Jeff Mills.mp3,0.533730013,10,2,
W01,Hard Changes - CHRS.mp3,0.361562420,9,3,9
W02,"Heavy Heart - Loco Dice, Skrillex, Fireboy DML.mp3",0.294643495,7,3,8
W03,"God Is Fair, Sexy Nasty feat. Kendrick Lamar) - Mac Miller, Kendrick Lamar.mp3",0.111694549,6,3,3
W04,"Running - Abel, PAUZA.mp3",0.249214109,5,3,7
W05,百合花般的她 - Zzh.mp3,0.108431976,4,3,3
W06,Forever and Ever - Demis Roussos.mp3,0.042167412,2,3,1
W07,过程 - 蛋堡.mp3,0.140506419,4,3,4
W08,Wonder About You - Noevdv.mp3,0.184125843,1,3,5
W09,"Big Dawgs (Remix) - Hanumankind, Kalmi, A$AP Rocky.mp3",0.208631213,7,3,6
W10,"Inside Out - DVBBS, Bad Nonno.mp3",0.276803887,7,3,8
W11,feat. Me (Original Mix) - Tars.mp3,0.285419649,7,3,8
W12,Windcall - Atura.mp3,0.115193430,8,3,3
W13,Broken - A-Par.mp3,0.339538360,9,3,9
W14,RED HOT SKULL - Skybreak.mp3,0.234766331,7,3,7
W15,"bound in solace - Nikita, the Wicked, Bloody.mp3",0.148849133,7,3,4
W16,拉勾勾 - 王怡.mp3,0.075916346,1,3,2
W17,云宫迅音 - 许镜清.mp3,0.041239815,1,3,1
W18,"feat. Uzuhan - ARAI, Uzuhan.mp3",0.043479099,2,3,1
W19,Little Stupid Boy - ARAI.mp3,0.173610522,6,3,5
W20,Dreamer - Laufey.mp3,0.081778647,1,3,2
W21,"Soma - Skrillex, Nitepunk.mp3",0.350497515,9,3,9
W22,"Supersonic (VIP) - Noisia, Skrillex, josh pan, Dylan Brady.mp3",0.144555253,7,3,4
W23,Kemuri (Untouchable Mix) - DJ Krush.mp3,0.078189338,4,3,2
W24,"DANCIN' - HYPERTECHNO - HYPERAVE, BassTon, Tazzy.mp3",0.242262612,6,3,7
W25,"Colombia - Neitan, DJ Kuba.mp3",0.214877708,10,3,6
W26,Too Much.mp3,0.178970724,8,3,5
W27,"Hysteria - ReOrder, Jordan Tobias, Crowd+Ctrl, Ellae.mp3",0.202126535,7,3,6
